MRCAoA,MRCColMeaningfulness,MRCConcreteness,MRCFamiliarity,MRCPavioMeaningfulness,readinglevel
0.32,1.95,1.89,4.13,0.22,2
0.3,2.14,1.95,4.27,0.19,0
0.3,2.07,1.92,4.26,0.16,1
0.29,1.98,1.78,3.97,0.17,2
0.27,2.28,2.01,4.34,0.19,0
0.33,2.03,1.85,4.09,0.17,1
0.26,2.22,2.02,4.31,0.17,2
0.32,2.48,2.28,4.64,0.17,0
0.24,2.41,2.16,4.49,0.18,1
0.28,2.16,2.09,4.28,0.16,2
0.3,2.31,2.19,4.4,0.17,0
0.31,2.2,2.15,4.33,0.16,1
0.29,2.3,2.14,4.49,0.34,2
0.22,2.59,2.33,4.79,0.35,0
0.29,2.39,2.19,4.53,0.35,1
0.32,2.06,1.97,4.25,0.24,2
0.33,2.51,2.28,4.72,0.35,0
0.27,2.18,2.02,4.39,0.24,1
0.25,2.12,1.94,4.23,0.16,2
0.21,2.17,1.94,4.22,0.11,0
0.21,2.13,1.93,4.26,0.18,1
0.31,1.69,1.73,3.94,0.17,2
0.38,1.87,1.88,4.14,0.13,0
0.37,1.78,1.83,4.05,0.12,1
0.3,1.98,1.81,3.99,0.19,2
0.29,2.21,1.94,4.28,0.11,0
0.33,2.02,1.84,4.02,0.16,1
0.3,1.98,1.88,4.0,0.16,2
0.32,2.24,2.06,4.3,0.16,0
0.34,2.06,1.97,4.13,0.18,1
0.38,1.94,1.83,4.08,0.34,2
0.31,2.2,1.89,4.3,0.19,0
0.41,1.98,1.85,4.2,0.34,1
0.37,2.02,2.04,3.95,0.16,2
0.47,2.3,2.34,4.32,0.26,0
0.43,2.08,2.16,4.04,0.21,1
0.44,2.07,1.97,4.17,0.23,2
0.38,2.27,2.08,4.26,0.24,0
0.45,2.12,2.01,4.2,0.24,1
0.3,2.33,2.16,4.6,0.28,2
0.26,2.53,2.28,4.79,0.44,0
0.29,2.38,2.19,4.65,0.38,1
0.2,2.52,2.24,4.75,0.26,2
0.24,2.55,2.26,4.78,0.25,0
0.19,2.49,2.21,4.74,0.25,1
0.28,2.12,1.98,4.19,0.25,2
0.35,2.26,2.12,4.45,0.3,0
0.31,2.14,2.02,4.25,0.25,1
0.23,2.2,2.0,4.3,0.26,2
0.25,2.22,2.05,4.35,0.19,0
0.28,2.25,2.07,4.43,0.21,1
0.19,1.99,1.76,4.01,0.13,2
0.31,2.15,1.96,4.27,0.13,0
0.22,2.06,1.82,4.08,0.14,1
0.21,2.1,1.83,4.21,0.32,2
0.21,2.31,2.01,4.46,0.35,0
0.2,2.18,1.89,4.33,0.31,1
0.26,2.37,2.22,4.61,0.26,2
0.21,2.56,2.32,4.82,0.26,0
0.24,2.38,2.2,4.61,0.29,1
0.21,2.44,2.23,4.34,0.28,2
0.16,2.58,2.32,4.46,0.25,0
0.18,2.45,2.22,4.34,0.23,1
0.39,2.1,2.04,4.14,0.43,2
0.35,2.41,2.26,4.39,0.4,0
0.42,2.16,2.1,4.22,0.42,1
0.26,2.27,2.11,4.49,0.22,2
0.3,2.27,2.19,4.53,0.32,0
0.28,2.29,2.18,4.56,0.31,1
0.49,2.19,2.16,4.49,0.19,2
0.65,2.39,2.36,4.74,0.17,0
0.52,2.3,2.24,4.63,0.16,1
0.32,2.06,1.94,4.27,0.2,2
0.29,2.24,2.03,4.47,0.26,0
0.3,2.09,1.94,4.33,0.21,1
0.29,1.88,1.85,4.06,0.27,2
0.26,2.03,2.0,4.33,0.31,0
0.29,1.95,1.95,4.23,0.31,1
0.21,2.24,2.08,4.32,0.3,2
0.26,2.46,2.28,4.5,0.33,0
0.23,2.27,2.11,4.36,0.3,1
0.25,2.46,2.21,4.56,0.21,2
0.2,2.59,2.31,4.72,0.23,0
0.25,2.52,2.28,4.67,0.25,1
0.37,1.78,1.83,3.79,0.24,2
0.35,1.97,2.03,4.04,0.22,0
0.36,1.86,1.91,3.93,0.19,1
0.25,2.2,2.0,4.29,0.22,2
0.29,2.29,2.05,4.38,0.25,0
0.31,2.25,2.08,4.42,0.28,1
0.27,1.91,1.79,3.97,0.27,2
0.35,2.21,2.15,4.48,0.4,0
0.31,1.99,1.93,4.14,0.34,1
0.25,2.02,1.86,4.04,0.14,2
0.28,2.19,2.08,4.46,0.18,0
0.25,2.09,1.93,4.19,0.14,1
0.27,2.36,2.2,4.39,0.25,2
0.29,2.66,2.51,4.74,0.33,0
0.28,2.5,2.32,4.56,0.27,1
0.29,2.08,1.88,4.19,0.33,2
0.29,2.28,1.99,4.37,0.33,0
0.31,2.24,1.99,4.42,0.35,1
0.27,2.21,2.0,4.47,0.34,2
0.27,2.33,2.1,4.59,0.37,0
0.26,2.25,2.02,4.54,0.32,1
0.35,2.2,2.09,4.4,0.36,2
0.27,2.26,2.13,4.44,0.36,0
0.34,2.22,2.11,4.45,0.37,1
0.26,1.92,1.82,4.03,0.21,2
0.25,2.02,1.87,4.0,0.25,0
0.26,1.97,1.83,4.03,0.26,1
0.25,2.34,2.16,4.48,0.22,2
0.22,2.55,2.32,4.71,0.26,0
0.25,2.39,2.2,4.56,0.23,1
0.34,2.07,2.02,4.2,0.38,2
0.27,2.42,2.23,4.5,0.45,0
0.29,2.19,2.07,4.32,0.4,1
0.26,2.15,1.93,4.39,0.26,2
0.25,2.33,2.09,4.62,0.33,0
0.28,2.19,1.99,4.5,0.3,1
0.31,2.08,1.89,4.09,0.37,2
0.32,2.26,2.01,4.3,0.36,0
0.33,2.27,2.02,4.27,0.37,1
0.52,1.82,1.9,4.1,0.11,2
0.57,2.13,2.15,4.47,0.16,0
0.52,1.9,1.97,4.27,0.14,1
0.41,1.77,1.78,4.02,0.17,2
0.35,2.01,1.91,4.32,0.25,0
0.4,1.91,1.89,4.21,0.21,1
0.33,2.44,2.19,4.46,0.33,2
0.29,2.55,2.32,4.55,0.44,0
0.34,2.57,2.29,4.56,0.36,1
0.22,1.91,1.73,3.77,0.12,2
0.22,2.12,1.92,4.09,0.14,0
0.23,2.02,1.82,3.98,0.13,1
0.28,2.43,2.23,4.55,0.32,2
0.32,2.58,2.4,4.76,0.4,0
0.3,2.51,2.31,4.65,0.33,1
0.27,2.16,1.96,4.21,0.2,2
0.24,2.3,2.07,4.43,0.22,0
0.28,2.26,2.03,4.29,0.2,1
0.3,2.08,1.82,4.01,0.18,2
0.29,2.42,1.99,4.44,0.16,0
0.33,2.15,1.87,4.18,0.21,1
0.42,2.15,2.0,4.39,0.12,2
0.36,2.37,2.17,4.62,0.2,0
0.42,2.15,2.01,4.39,0.17,1
0.23,2.37,2.13,4.49,0.22,2
0.27,2.39,2.2,4.58,0.26,0
0.22,2.37,2.15,4.5,0.27,1
0.2,2.49,2.21,4.53,0.19,2
0.21,2.76,2.45,4.84,0.16,0
0.21,2.61,2.33,4.7,0.22,1
0.26,2.1,1.93,4.17,0.22,2
0.29,2.2,2.0,4.38,0.21,0
0.27,2.14,1.93,4.24,0.18,1
0.3,2.28,2.18,4.35,0.48,2
0.28,2.45,2.32,4.56,0.56,0
0.32,2.34,2.24,4.44,0.55,1
0.3,2.36,2.22,4.46,0.45,2
0.3,2.52,2.34,4.57,0.55,0
0.28,2.42,2.24,4.48,0.47,1
0.31,2.33,2.23,4.47,0.19,2
0.33,2.54,2.41,4.74,0.18,0
0.33,2.35,2.23,4.47,0.21,1
0.22,2.12,1.97,4.23,0.24,2
0.21,2.37,2.14,4.58,0.19,0
0.22,2.2,2.04,4.41,0.2,1
0.41,1.95,1.93,4.04,0.24,2
0.47,2.04,2.0,4.11,0.18,0
0.45,1.99,1.96,4.05,0.23,1
0.29,2.07,1.9,4.25,0.27,2
0.22,2.5,2.14,4.63,0.39,0
0.32,2.24,2.06,4.56,0.34,1
0.34,2.13,2.01,4.37,0.27,2
0.29,2.32,2.15,4.74,0.35,0
0.3,2.24,2.11,4.5,0.29,1
0.32,2.09,1.98,4.08,0.3,2
0.29,2.35,2.16,4.39,0.33,0
0.36,2.27,2.13,4.39,0.32,1
0.27,1.87,1.76,3.85,0.16,2
0.25,2.12,1.94,4.15,0.13,0
0.26,2.01,1.84,4.03,0.16,1
0.38,2.2,2.1,4.11,0.32,2
0.39,2.42,2.29,4.5,0.39,0
0.39,2.31,2.2,4.33,0.4,1
0.3,1.99,1.9,4.02,0.23,2
0.33,2.22,2.06,4.45,0.35,0
0.33,2.07,1.96,4.16,0.24,1
0.29,2.1,1.88,4.21,0.25,2
0.31,2.0,1.82,4.15,0.22,0
0.32,2.08,1.89,4.25,0.24,1
0.19,2.56,2.44,4.86,0.45,2
0.17,2.55,2.46,4.88,0.41,0
0.16,2.55,2.43,4.87,0.41,1
0.25,2.42,2.2,4.65,0.2,2
0.27,2.58,2.31,4.84,0.19,0
0.24,2.48,2.22,4.64,0.2,1
0.36,2.04,2.0,4.27,0.35,2
0.39,2.19,2.12,4.43,0.35,0
0.37,2.09,2.08,4.41,0.36,1
0.24,2.23,2.01,4.27,0.19,2
0.22,2.43,2.17,4.54,0.19,0
0.25,2.27,2.08,4.41,0.18,1
0.29,2.04,1.84,4.15,0.15,2
0.3,2.2,1.91,4.36,0.23,0
0.31,2.12,1.9,4.32,0.19,1
0.25,2.01,1.96,4.22,0.35,2
0.23,2.06,2.04,4.29,0.41,0
0.22,2.02,1.97,4.24,0.35,1
0.34,2.42,2.29,4.48,0.21,2
0.24,2.81,2.53,4.81,0.17,0
0.32,2.56,2.39,4.63,0.19,1
0.28,2.23,2.01,4.4,0.24,2
0.31,2.47,2.22,4.72,0.28,0
0.29,2.3,2.02,4.44,0.22,1
0.3,1.96,1.85,4.12,0.14,2
0.25,2.38,2.08,4.44,0.17,0
0.3,2.22,2.01,4.36,0.15,1
0.37,2.17,2.11,4.19,0.36,2
0.31,2.32,2.22,4.4,0.32,0
0.32,2.17,2.11,4.23,0.36,1
0.19,2.42,2.18,4.43,0.18,2
0.16,2.53,2.21,4.56,0.18,0
0.15,2.46,2.19,4.46,0.15,1
0.21,2.15,1.94,4.13,0.2,2
0.23,2.42,2.15,4.45,0.2,0
0.26,2.25,2.03,4.25,0.2,1
0.32,2.23,2.12,4.36,0.34,2
0.3,2.42,2.25,4.64,0.41,0
0.31,2.32,2.2,4.5,0.35,1
0.33,1.84,1.69,3.73,0.1,2
0.29,2.1,1.83,4.04,0.17,0
0.35,1.91,1.76,3.86,0.09,1
0.24,2.34,2.07,4.43,0.22,2
0.21,2.54,2.2,4.63,0.19,0
0.2,2.43,2.11,4.5,0.2,1
0.24,1.91,1.77,3.97,0.13,2
0.19,2.06,1.84,4.08,0.09,0
0.2,1.99,1.8,4.03,0.12,1
0.26,2.48,2.15,4.6,0.24,2
0.28,2.67,2.27,4.72,0.28,0
0.28,2.53,2.16,4.65,0.24,1
0.19,2.37,2.17,4.4,0.24,2
0.25,2.68,2.47,4.75,0.31,0
0.21,2.44,2.27,4.5,0.24,1
0.19,2.02,1.82,3.97,0.22,2
0.18,2.34,2.08,4.33,0.21,0
0.18,2.22,1.97,4.23,0.25,1
0.24,2.28,2.02,4.19,0.29,2
0.26,2.42,2.09,4.3,0.34,0
0.21,2.43,2.1,4.43,0.26,1
0.36,2.01,1.97,4.17,0.33,2
0.21,2.12,1.97,4.12,0.28,0
0.33,2.12,1.99,4.18,0.27,1
0.19,1.99,1.85,4.15,0.15,2
0.21,2.08,1.95,4.3,0.21,0
0.22,2.02,1.89,4.23,0.16,1
0.33,2.12,1.97,4.03,0.31,2
0.27,2.2,2.03,4.21,0.28,0
0.33,2.18,2.03,4.13,0.28,1
0.29,2.4,2.19,4.54,0.36,2
0.31,2.75,2.42,4.91,0.46,0
0.28,2.5,2.22,4.64,0.37,1
0.2,1.95,1.8,3.88,0.21,2
0.14,1.97,1.82,3.95,0.26,0
0.19,1.98,1.86,3.98,0.2,1
0.27,1.99,1.87,3.97,0.32,2
0.2,2.08,1.88,3.86,0.34,0
0.23,2.01,1.85,3.95,0.34,1
0.21,2.77,2.48,4.8,0.2,2
0.21,2.89,2.59,4.89,0.27,0
0.22,2.8,2.51,4.84,0.21,1
0.29,2.1,1.91,4.2,0.18,2
0.29,2.25,1.97,4.35,0.14,0
0.28,2.17,1.95,4.28,0.19,1
0.21,2.4,2.13,4.39,0.15,2
0.22,2.61,2.28,4.6,0.14,0
0.2,2.46,2.15,4.45,0.14,1
0.42,2.0,1.93,4.18,0.23,2
0.35,2.15,1.99,4.29,0.2,0
0.44,2.04,1.97,4.25,0.24,1
0.3,2.38,2.18,4.55,0.33,2
0.34,2.63,2.34,4.82,0.4,0
0.34,2.46,2.22,4.64,0.33,1
0.34,2.54,2.31,4.67,0.16,2
0.32,2.7,2.42,4.86,0.16,0
0.37,2.61,2.38,4.76,0.16,1
0.29,1.87,1.82,3.95,0.21,2
0.3,2.03,1.95,4.1,0.19,0
0.3,1.95,1.9,4.08,0.21,1
0.28,2.26,2.12,4.3,0.22,2
0.3,2.38,2.26,4.47,0.31,0
0.3,2.28,2.17,4.31,0.24,1
0.24,2.11,1.89,4.19,0.22,2
0.18,2.19,1.94,4.22,0.23,0
0.23,2.17,1.92,4.22,0.27,1
0.28,1.94,1.86,3.84,0.29,2
0.26,2.12,1.97,3.93,0.34,0
0.26,2.05,1.94,3.92,0.31,1
0.23,2.18,2.0,4.25,0.14,2
0.23,2.42,2.23,4.47,0.19,0
0.19,2.23,2.03,4.28,0.15,1
0.21,2.0,1.77,3.99,0.15,2
0.23,2.28,1.94,4.3,0.15,0
0.18,2.03,1.75,4.02,0.12,1
0.25,2.22,2.08,4.5,0.23,2
0.27,2.3,2.17,4.54,0.34,0
0.28,2.25,2.13,4.51,0.29,1
0.29,2.06,1.96,4.31,0.26,2
0.31,2.05,1.93,4.3,0.31,0
0.34,2.06,1.99,4.32,0.31,1
0.21,2.24,1.99,4.27,0.1,2
0.25,2.44,2.2,4.55,0.12,0
0.23,2.3,2.06,4.39,0.12,1
0.31,2.26,2.13,4.42,0.32,2
0.45,2.39,2.38,4.8,0.43,0
0.32,2.32,2.19,4.57,0.33,1
0.27,2.1,1.92,4.19,0.24,2
0.25,2.22,1.97,4.37,0.23,0
0.26,2.14,1.93,4.26,0.23,1
0.21,2.3,2.13,4.44,0.39,2
0.19,2.67,2.41,4.83,0.43,0
0.21,2.45,2.22,4.59,0.4,1
0.33,2.04,1.93,4.15,0.18,2
0.34,2.2,2.08,4.34,0.19,0
0.34,2.04,1.92,4.18,0.17,1
0.23,2.18,2.08,4.51,0.25,2
0.22,2.26,2.16,4.62,0.27,0
0.21,2.23,2.14,4.56,0.24,1
0.26,2.16,1.95,4.23,0.23,2
0.25,2.38,2.15,4.48,0.26,0
0.23,2.19,1.96,4.25,0.24,1
0.38,2.17,2.06,4.37,0.27,2
0.41,2.26,2.21,4.49,0.28,0
0.37,2.2,2.12,4.47,0.25,1
0.27,2.11,1.93,4.17,0.2,2
0.29,2.24,2.04,4.41,0.2,0
0.29,2.29,2.04,4.36,0.18,1
0.26,2.1,2.05,4.21,0.42,2
0.3,2.32,2.29,4.5,0.42,0
0.25,2.29,2.16,4.41,0.38,1
0.26,2.3,2.1,4.45,0.15,2
0.24,2.35,2.15,4.45,0.19,0
0.27,2.34,2.13,4.48,0.17,1
0.31,2.29,2.16,4.32,0.35,2
0.29,2.6,2.38,4.7,0.35,0
0.31,2.46,2.29,4.5,0.37,1
0.34,2.19,2.13,4.43,0.22,2
0.46,2.42,2.32,4.72,0.25,0
0.31,2.23,2.14,4.52,0.24,1
0.38,2.21,1.99,4.29,0.27,2
0.31,2.45,2.05,4.54,0.26,0
0.31,2.26,1.96,4.42,0.23,1
0.33,2.12,1.9,4.23,0.29,2
0.34,2.33,2.04,4.51,0.24,0
0.36,2.15,1.92,4.32,0.26,1
0.36,1.94,1.89,4.11,0.17,2
0.42,2.15,2.04,4.38,0.16,0
0.42,1.99,1.95,4.25,0.18,1
0.19,2.2,1.96,4.08,0.17,2
0.15,2.36,2.07,4.38,0.19,0
0.17,2.19,1.97,4.1,0.18,1
0.22,2.1,1.86,4.16,0.1,2
0.19,2.3,2.03,4.5,0.06,0
0.18,2.2,1.92,4.32,0.09,1
0.25,2.33,2.08,4.55,0.14,2
0.26,2.5,2.2,4.75,0.15,0
0.26,2.32,2.07,4.56,0.15,1
0.35,2.29,2.23,4.46,0.24,2
0.33,2.33,2.21,4.4,0.3,0
0.3,2.33,2.21,4.46,0.26,1
0.23,2.01,1.85,4.01,0.25,2
0.18,2.22,1.93,4.29,0.26,0
0.23,2.12,1.89,4.18,0.24,1
0.3,2.03,1.85,4.0,0.15,2
0.37,2.39,2.09,4.44,0.15,0
0.33,2.12,1.93,4.11,0.14,1
0.3,2.15,2.07,4.32,0.13,2
0.31,2.2,2.13,4.39,0.11,0
0.32,2.13,2.09,4.32,0.1,1
0.3,2.42,2.21,4.58,0.29,2
0.32,2.53,2.31,4.76,0.29,0
0.31,2.5,2.27,4.7,0.3,1
0.3,2.09,1.97,4.19,0.43,2
0.28,2.2,1.98,4.37,0.43,0
0.31,2.17,1.99,4.35,0.5,1
0.24,2.34,2.05,4.19,0.34,2
0.22,2.45,2.15,4.32,0.41,0
0.24,2.33,2.05,4.24,0.36,1
0.29,1.83,1.63,3.79,0.09,2
0.21,2.05,1.72,3.97,0.11,0
0.29,1.94,1.7,3.94,0.08,1
0.31,2.33,1.99,4.37,0.19,2
0.35,2.47,2.14,4.57,0.28,0
0.33,2.32,2.0,4.34,0.23,1
0.33,2.46,2.2,4.67,0.19,2
0.34,2.63,2.25,4.72,0.18,0
0.34,2.52,2.22,4.73,0.2,1
0.32,2.12,2.04,4.21,0.17,2
0.23,2.36,2.14,4.4,0.12,0
0.32,2.24,2.12,4.33,0.16,1
0.27,2.09,1.87,4.04,0.25,2
0.2,2.16,1.89,4.18,0.25,0
0.23,2.14,1.89,4.08,0.28,1
0.35,2.02,1.98,4.27,0.29,2
0.31,2.12,2.03,4.4,0.26,0
0.34,2.05,2.0,4.29,0.33,1
0.32,2.18,2.11,4.43,0.19,2
0.31,2.26,2.19,4.54,0.21,0
0.31,2.19,2.11,4.47,0.17,1
0.31,1.99,1.86,4.02,0.23,2
0.33,2.18,2.01,4.29,0.24,0
0.31,2.0,1.88,4.09,0.24,1
0.43,1.96,2.0,4.25,0.3,2
0.4,2.26,2.18,4.57,0.32,0
0.38,2.08,2.05,4.36,0.3,1
0.2,2.27,2.1,4.3,0.26,2
0.13,2.54,2.34,4.56,0.27,0
0.17,2.33,2.11,4.37,0.2,1
0.29,2.25,2.14,4.34,0.21,2
0.31,2.52,2.45,4.61,0.28,0
0.29,2.29,2.2,4.34,0.23,1
0.22,2.25,1.96,4.37,0.19,2
0.15,2.34,1.99,4.41,0.24,0
0.2,2.24,1.93,4.36,0.22,1
0.41,2.5,2.23,4.52,0.28,2
0.4,2.74,2.39,4.78,0.25,0
0.43,2.63,2.33,4.62,0.29,1
0.25,2.15,1.96,4.23,0.25,2
0.25,2.33,2.11,4.52,0.27,0
0.27,2.19,2.01,4.35,0.26,1
0.28,2.24,2.0,4.27,0.14,2
0.27,2.44,2.15,4.49,0.12,0
0.28,2.27,2.03,4.32,0.12,1
0.21,2.17,2.03,4.07,0.44,2
0.25,2.38,2.24,4.39,0.53,0
0.21,2.22,2.08,4.18,0.43,1
0.38,2.21,2.05,4.41,0.2,2
0.39,2.42,2.21,4.59,0.15,0
0.39,2.25,2.09,4.49,0.18,1
0.41,1.86,1.85,3.97,0.18,2
0.34,2.19,2.01,4.33,0.12,0
0.35,2.05,1.98,4.19,0.2,1
0.22,2.24,2.04,4.23,0.33,2
0.24,2.47,2.22,4.52,0.4,0
0.24,2.32,2.12,4.33,0.35,1
0.23,1.88,1.71,3.84,0.27,2
0.22,2.13,1.86,4.09,0.23,0
0.25,1.96,1.77,3.98,0.27,1
0.28,2.2,2.05,4.45,0.27,2
0.24,2.23,2.04,4.4,0.25,0
0.25,2.19,2.04,4.41,0.29,1
0.21,2.1,1.93,4.19,0.19,2
0.2,2.28,2.05,4.34,0.14,0
0.19,2.19,1.99,4.28,0.16,1
0.25,2.06,1.82,4.07,0.14,2
0.2,2.2,1.89,4.11,0.22,0
0.22,2.08,1.81,4.03,0.15,1
0.29,2.18,2.01,4.25,0.16,2
0.26,2.4,2.19,4.5,0.32,0
0.3,2.28,2.11,4.38,0.2,1
0.22,2.03,1.88,4.09,0.23,2
0.27,2.19,2.06,4.38,0.32,0
0.25,2.1,1.97,4.27,0.29,1
0.28,2.03,1.92,4.15,0.4,2
0.27,2.28,2.08,4.3,0.48,0
0.29,2.15,2.01,4.3,0.46,1
0.18,1.97,1.77,4.04,0.24,2
0.22,2.05,1.79,4.17,0.16,0
0.19,2.01,1.75,4.05,0.16,1
0.21,2.1,1.94,4.14,0.21,2
0.13,2.28,2.04,4.28,0.18,0
0.21,2.17,2.01,4.23,0.19,1
0.28,2.52,2.28,4.57,0.37,2
0.17,2.88,2.49,4.89,0.47,0
0.25,2.59,2.33,4.65,0.37,1
0.24,2.05,1.96,4.06,0.27,2
0.31,2.36,2.2,4.41,0.36,0
0.28,2.13,2.02,4.12,0.3,1
0.3,2.29,2.19,4.48,0.16,2
0.35,2.35,2.24,4.62,0.16,0
0.35,2.3,2.21,4.54,0.17,1
0.27,2.23,2.05,4.36,0.25,2
0.25,2.21,2.03,4.29,0.26,0
0.26,2.27,2.07,4.44,0.23,1
0.24,2.19,2.03,4.26,0.2,2
0.25,2.37,2.17,4.45,0.2,0
0.28,2.28,2.09,4.34,0.19,1
0.28,2.26,2.13,4.52,0.31,2
0.31,2.51,2.33,4.72,0.31,0
0.33,2.38,2.25,4.62,0.33,1
0.11,2.53,2.17,4.54,0.2,2
0.14,2.69,2.35,4.64,0.23,0
0.13,2.59,2.24,4.59,0.19,1
0.2,2.21,2.06,4.32,0.36,2
0.21,2.38,2.16,4.46,0.39,0
0.21,2.31,2.13,4.44,0.35,1
0.34,2.06,1.85,4.27,0.2,2
0.33,2.2,1.92,4.42,0.19,0
0.3,2.1,1.85,4.3,0.19,1
0.17,2.05,1.8,3.91,0.33,2
0.21,2.24,1.95,4.18,0.47,0
0.18,2.1,1.83,3.96,0.37,1
0.29,2.23,2.06,4.36,0.13,2
0.25,2.36,2.1,4.42,0.12,0
0.3,2.24,2.08,4.37,0.13,1
0.25,2.23,2.01,4.31,0.21,2
0.2,2.55,2.18,4.65,0.23,0
0.24,2.37,2.1,4.47,0.25,1
0.33,2.25,2.11,4.23,0.16,2
0.45,2.77,2.5,4.73,0.16,0
0.34,2.38,2.18,4.31,0.13,1
0.26,2.51,2.19,4.6,0.21,2
0.34,2.73,2.41,4.93,0.29,0
0.29,2.59,2.27,4.72,0.28,1
0.38,2.38,2.18,4.53,0.22,2
0.38,2.67,2.4,4.75,0.16,0
0.41,2.49,2.27,4.63,0.21,1
0.35,2.22,2.13,4.45,0.4,2
0.45,2.41,2.32,4.68,0.49,0
0.37,2.31,2.21,4.58,0.45,1
0.27,2.17,2.05,4.13,0.46,2
0.37,2.56,2.28,4.65,0.46,0
0.29,2.28,2.08,4.26,0.44,1
0.21,2.09,1.87,4.13,0.1,2
0.27,2.3,2.08,4.4,0.08,0
0.24,2.18,1.97,4.28,0.1,1
0.26,2.22,2.17,4.52,0.33,2
0.27,2.3,2.32,4.69,0.49,0
0.23,2.19,2.18,4.52,0.39,1
0.19,2.35,1.91,4.45,0.05,2
0.27,2.52,2.03,4.64,0.07,0
0.17,2.42,1.93,4.48,0.06,1
0.29,2.23,2.06,4.18,0.3,2
0.38,2.54,2.39,4.62,0.41,0
0.34,2.36,2.22,4.4,0.35,1
0.22,2.27,1.98,4.41,0.22,2
0.26,2.37,2.05,4.51,0.23,0
0.25,2.35,2.05,4.5,0.21,1
0.37,2.27,2.12,4.5,0.17,2
0.31,2.39,2.21,4.66,0.12,0
0.4,2.33,2.2,4.61,0.16,1
0.28,2.42,2.22,4.61,0.21,2
0.24,2.52,2.31,4.68,0.24,0
0.27,2.42,2.22,4.55,0.22,1
0.23,2.2,2.05,4.34,0.28,2
0.21,2.21,2.05,4.36,0.31,0
0.2,2.24,2.07,4.43,0.28,1
0.24,2.12,2.0,4.16,0.2,2
0.18,2.18,1.99,4.27,0.17,0
0.25,2.13,2.02,4.22,0.2,1
0.23,2.32,2.08,4.36,0.17,2
0.17,2.3,2.07,4.4,0.24,0
0.22,2.27,2.04,4.3,0.16,1
0.32,2.13,1.99,4.1,0.16,2
0.29,2.3,2.04,4.3,0.21,0
0.3,2.2,1.98,4.21,0.17,1
0.37,2.18,2.07,4.36,0.24,2
0.37,2.44,2.25,4.68,0.22,0
0.38,2.25,2.11,4.4,0.21,1
0.34,1.99,1.94,4.27,0.16,2
0.35,1.99,1.97,4.29,0.14,0
0.28,1.97,1.9,4.2,0.14,1
0.28,1.78,1.65,3.59,0.19,2
0.29,1.99,1.82,3.87,0.2,0
0.27,1.83,1.67,3.63,0.18,1